id,question,options,explanation,image_paths,img_type,answer,topic_difficulty,question_type,subfield
dev_Accounting_1,"Each of the following situations relates to a different company. <image 1> For company B, find the missing amounts.","['$63,020', '$58,410', '$71,320', '$77,490']",,MMMU_Accounting_images/dev\dev_Accounting_1_image_1.png,['Tables'],D,Easy,multiple-choice,Financial Accounting
dev_Accounting_2,"Here are facts for the Hudson Roofing Company for December. <image 1> Assuming no investments or withdrawals, what is the ending balance in the owners' capital account?","['$171,900', '$170,000', '$172,500', '$181,900']",,MMMU_Accounting_images/dev\dev_Accounting_2_image_1.png,['Tables'],A,Easy,multiple-choice,Financial Accounting
dev_Accounting_3,"For 2015, calculate the cash flow from assets(1) ________, cash flow to creditors(2) ________, and cash flow to stockholders(3) ________.<image 1>","['1): -$493.02 (2):-$2,384 (3):$1,890.98', '1): $1843.98 (2): -$2,384 (3):$493.02', '1): -$493.02 (2):  -$2,384 (3):-$1,890.98']","OCF = EBIT + Depreciation - Taxes= $4,427 + 1,351 - 1,259.02= $4,518.98
Change in NWC = ($25,522 - 5,917) - ($23,062 - 6,132)= $2,675
Net capital spending = $42,332 - 41,346 + 1,351= $2,337
Cash flow from assets = $4,518.98 - 2,675 - 2,337= -$493.02
Cash flow to creditors = Interest - Net new LTD= $724 - ($19,260 - 16,152)= -$2,384
Cash flow to stockholders = Dividends - Net new equity= $1,261- (-$629.98)= $1,890.98
Cash flow from assets = Cash flow from creditors + Cash flow to stockholders = -$2,384+ 1,890.98 = -$493.02",MMMU_Accounting_images/dev\dev_Accounting_3_image_1.png,['Tables'],C,Medium,multiple-choice,Financial Accounting
dev_Accounting_4,Paper Submarine Manufacturing is investigating a lockbox system to reduce its collection time. It has determined the following:<image 1> The total collection time will be reduced by three days if the lockbox system is adopted.What is the net cash flow per check from adopting? ,"['$.02', '$7.79', '$8.65']",,MMMU_Accounting_images/dev\dev_Accounting_4_image_1.png,['Tables'],A,Easy,multiple-choice,Financial Accounting
dev_Accounting_5,Solve for the unknown number of years in each of the following:<image 1>,"['10.52 years; 14.73 years; 20.02 years; 24.73 years', '10.64 years; 14.81 years; 20.35 years; 25.01 years', '10.96 years; 15.22 years; 20.83 years; 25.96 years']",,MMMU_Accounting_images/dev\dev_Accounting_5_image_1.png,['Tables'],B,Hard,multiple-choice,Financial Accounting
validation_Accounting_1,"<image 1> Baxter Company has a relevant range of production between 15,000 and 30,000 units. The following cost data represents average variable costs per unit for 25,000 units of production. If 30,000 units are produced, what are the per unit manufacturing overhead costs incurred?","['$6', '$7', '$8', '$9']",,MMMU_Accounting_images/validation\validation_Accounting_1_image_1.png,['Tables'],B,Medium,multiple-choice,Managerial Accounting
validation_Accounting_2,"Assume accounts have normal balances, solve for the one missing account balance: Dividends. Equipment was recently purchased, so there is neither depreciation expense nor accumulated depreciation. <image 1>","['$194,815', '$182,815', '$12,000', '$9,000']",,MMMU_Accounting_images/validation\validation_Accounting_2_image_1.png,['Tables'],C,Medium,multiple-choice,Financial Accounting
validation_Accounting_3,"Maxwell Software, Inc., has the following mutually exclusive projects.Suppose the company uses the NPV rule to rank these two projects.<image 1> Which project should be chosen if the appropriate discount rate is 15 percent?","['Project A', 'Project B']",Discount each project's cash flows at 15 percent. Choose the project with the highest NPV. Project A:NPV = -$141.69 Project B:NPV= $668.20,MMMU_Accounting_images/validation\validation_Accounting_3_image_1.png,['Tables'],B,Medium,multiple-choice,Financial Accounting
validation_Accounting_4,Each situation below relates to an independent company's Owners' Equity. <image 1> Calculate the missing values of company 2.,"['$1,620', '$12,000', '$51,180', '$0']",,MMMU_Accounting_images/validation\validation_Accounting_4_image_1.png,['Tables'],D,Easy,multiple-choice,Financial Accounting
validation_Accounting_5,"The following data show the units in beginning work in process inventory, the number of units started, the number of units transferred, and the percent completion of the ending work in process for conversion. Given that materials are added at the beginning of the process, what are the equivalent units for conversion costs for each quarter using the weighted-average method? Assume that the quarters are independent.<image 1>","['132,625', '134,485', '135,332', '132,685']",,MMMU_Accounting_images/validation\validation_Accounting_5_image_1.png,['Tables'],B,Medium,multiple-choice,Managerial Accounting
