id,question,options,explanation,image_paths,img_type,answer,topic_difficulty,question_type,subfield
dev_Economics_1,The graph below shows the AD-AS diagram for Spain. All numbers are in billions. <image 1> What is the price level in the short-run equilibrium?,"['500', '450', '400', '600']",,MMMU_Economics_images/dev\dev_Economics_1_image_1.png,['Plots and Charts'],D,Easy,multiple-choice,Macroeconomics
dev_Economics_2,The table below describes production possibilities for Mexico and Nigeria. Each number in the table shows the number of workers needed to produce one unit of the product. <image 1> Suppose that both countries have 90 workers. What is the opportunity cost of producing Glasses in Mexico?,"['1.20 Shoes', '1.00 Shoes', '0.83 Shoes', '0.75 Shoes']",,MMMU_Economics_images/dev\dev_Economics_2_image_1.png,['Tables'],A,Easy,multiple-choice,Macroeconomics
dev_Economics_3,The table below describes production possibilities for Mexico and Nigeria. Each number in the table shows the number of workers needed to produce one unit of the product. <image 1> Suppose that both countries have 90 workers. Which country should be specializing in the production of Shoes?,"['Nigeria', 'Neither country', 'Mexico']",,MMMU_Economics_images/dev\dev_Economics_3_image_1.png,['Tables'],C,Easy,multiple-choice,Macroeconomics
dev_Economics_4,The graph below shows the supply and demand curves and the world price for bagels. <image 1> What is the equilibrium quantity if this country does not trade?,"['2', '4', '6', '8']",,MMMU_Economics_images/dev\dev_Economics_4_image_1.png,['Plots and Charts'],B,Medium,multiple-choice,Macroeconomics
dev_Economics_5,A recent study found that the demand and supply schedules for Frisbees are as follows:<image 1> What are the equilibrium quantity of Frisbees?,"['6 million', '7 million', '8 million', '9 million']",,MMMU_Economics_images/dev\dev_Economics_5_image_1.png,['Tables'],A,Medium,multiple-choice,Principals of Economics
validation_Economics_1,"Consider the following balance sheet for TD. <image 1> Suppose that someone deposited $700 at TD Bank. Given this data, what is the minimum amount by which the money supply will increase?","['0', '700', '1400', '3418']",,MMMU_Economics_images/validation\validation_Economics_1_image_1.png,['Tables'],A,Medium,multiple-choice,Macroeconomics
validation_Economics_2,"<image 1> Suppose the government decided that, since gasoline is a necessity, its price should be legally capped at $1.30 per gallon. What do you anticipate would be the outcome in the gasoline market?","['A price below that of 1.30 dollars would cause a situation of excess demand and hence a surplus.', 'A price below that of 1.30 dollars would cause a situation of excess demand and hence a shortage.', 'Not certain.']",,MMMU_Economics_images/validation\validation_Economics_2_image_1.png,['Plots and Charts'],B,Medium,multiple-choice,Macroeconomics
validation_Economics_3,"<image 1> Table 10.7 provides some hypothetical data on macroeconomic accounts for three countries represented by A, B, and C and measured in billions of currency units. In Table 10.7, private household saving is SH, tax revenue is T, government spending is G, and investment spending is I. Calculate the trade balance and the net inflow of foreign saving for each country(country A,B,C).","['-700,250,0', '-700,250,-100', '-600,350,-100', '-700,350,0']",,MMMU_Economics_images/validation\validation_Economics_3_image_1.png,['Tables'],A,Easy,multiple-choice,Macroeconomics
validation_Economics_4,<image 1> The provided image depicts a/an,"['demand curve', 'Phillips curve', 'production possibilities frontier', 'aggregate supply curve', 'Lorenz curve']",,MMMU_Economics_images/validation\validation_Economics_4_image_1.png,['Plots and Charts'],B,Easy,multiple-choice,Macroeconomics
validation_Economics_5,Question about the following graph: How can an economy return to the long-run equilibrium if it faces a boom and if wages are flexible? <image 1>,"['Wages will fall.', 'Wages will rise.', 'Wages will remain unchanged.']",,MMMU_Economics_images/validation\validation_Economics_5_image_1.png,['Plots and Charts'],B,Easy,multiple-choice,Macroeconomics
