id,question,options,explanation,image_paths,img_type,answer,topic_difficulty,question_type,subfield
dev_Finance_1,"Without referring to the preprogrammed function on your financial calculator, use the basic formula for present value, along with the given opportunity cost, r, and the number of periods, n, to calculate the present value of $1 in case C shown in the following table. <image 1>",[],,MMMU_Finance_images/dev\dev_Finance_1_image_1.png,['Tables'],0.8638,Easy,open,Managerial Finance
dev_Finance_2,"Upton Computers makes bulk purchases of small computers, stocks them in conveniently located warehouses, ships them to its chain of retail stores, and has a staff to advise customers and help them set up their new computers. Upton's balance sheet as of December 31, 2010, is shown here (millions of dollars): <image 1> Sales for 2010 were $350 million and net income for the year was $10.5 million, so the firm's profit margin was 3.0%. Upton paid dividends of $4.2 million to common stockholders, so its payout ratio was 40%. Its tax rate is 40%, and it operated at full capacity. Assume that all assets/sales ratios, spontaneous liabilities/sales ratios, the profit margin, and the payout ratio remain constant in 2011. Using the AFN equation, determine Upton's self-supporting growth rate. That is, what is the maximum growth rate the firm can achieve without having to employ nonspontaneous external funds?",[],,MMMU_Finance_images/dev\dev_Finance_2_image_1.png,['Other'],6.38,Medium,open,Financial Management
dev_Finance_3,"Clare Jaccard has $5,000 to invest. Because she is only 25 years old, she is not concerned about the length of the investment's life. What she is sensitive to is the rate of return she will earn on the investment. With the help of her financial advisor, Clare has isolated four equally risky investments, each providing a single amount at the end of its life, as shown in the following table. All the investments require an initial $5,000 payment. <image 1> Calculate, to the nearest 1%, the rate of return on investment D available to Clare.","['11%', '8%', '10%', '9%']",,MMMU_Finance_images/dev\dev_Finance_3_image_1.png,['Tables'],C,Medium,multiple-choice,Managerial Finance
dev_Finance_4,"For case E in the following table: <image 1>. Calculate the present value of the annuity, assuming that it is an ordinary annuity","['$2,822', '$374,598', '$85,293', '$31,492', '$810,092']",,MMMU_Finance_images/dev\dev_Finance_4_image_1.png,['Tables'],C,Easy,multiple-choice,Managerial Finance
dev_Finance_5,The financial statements of Lioi Steel Fabricators are shown below — both the actual results for 2010 and the projections for 2011. Free cash flow is expected to grow at a 6% rate after 2011. The weighted average cost of capital is 11%. <image 1> What is the total value of the company as of 12/31/2010 (in million)?,[],,MMMU_Finance_images/dev\dev_Finance_5_image_1.png,['Tables'],749.10,Hard,open,Financial Management
validation_Finance_1,"The financial statements of Eagle Sport Supply are shown in the following table: <image 1>. For simplicity, 'Costs' include interest. Assume that Eagle's assets are proportional to its sales. Find Eagle's required external funds if it maintains a dividend payout ratio of 50% and plans a growth rate of 15% in 2020.","['$152.5', '$162.5', '$172.5', '$182.5']",,MMMU_Finance_images/validation\validation_Finance_1_image_1.png,['Tables'],B,Hard,multiple-choice,Corporate Finance
validation_Finance_2, Consider a three-factor APT model. The factors and associated risk premiums are <image 1>. Calculate expected rates of return on the following stock: A stock whose return is uncorrelated with all three factors. The risk-free interest rate is 7%. ,"['5%', '7%', '13%', '15.5%']",,MMMU_Finance_images/validation\validation_Finance_2_image_1.png,['Tables'],B,Easy,multiple-choice,Corporate Finance
validation_Finance_3,"For case A accompanying table, answer the questions that follow. <image 1> Calculate the future value of the annuity, assuming that it is an ordinary annuity.","['$126,827', '$223,248', '$36,216', '$4,058']",,MMMU_Finance_images/validation\validation_Finance_3_image_1.png,['Tables'],C,Medium,multiple-choice,Managerial Finance
validation_Finance_4,"Ratio proficiency  McDougal Printing, Inc., had sales totaling $40,000,000 in fiscal year 2015. Some ratios for the company are listed below. Use this information to determine the dollar values of various income statement and balance sheet accounts as requested. <image 1> Calculate values for the operating profits.","['$14,000,000', '$8,000,000', '$32,000,000', '$18,000,000']",,MMMU_Finance_images/validation\validation_Finance_4_image_1.png,['Tables'],A,Medium,multiple-choice,Managerial Finance
validation_Finance_5,"As financial manager of Corton Inc., you are investigating a possible acquisition of Denham. You have the basic data given in the following table. You estimate that investors expect a steady growth of about 6% in Denham's earnings and dividends. Under new management, this growth rate would be increased to 8% per year without the need for additional capital. <image 1> How would the cost of the share offer change if the expected growth rate was not changed by the merger?","['the cost of merger through stocks offer is $3,000,000', 'the cost of merger through stocks offer is $4,000,000', 'the cost of merger through stocks offer is $4,500,000', 'the cost of merger through stocks offer is $5,000,000']",,MMMU_Finance_images/validation\validation_Finance_5_image_1.png,['Tables'],D,Easy,multiple-choice,Corporate Finance
