Model,Accuracy%,Math Accuracy%,Knowledge Accuracy%,text Accuracy%,multimodal Accuracy%
gpt_o1,67.67,62.88,69.55,45.81,73.93
gpt_o1_rag,80.41,75.74,82.25,60.18,86.22
Gemini_Pro1,70.39,62.59,73.48,47.45,77.03
Gemini_Pro1_rag,78.68,74.32,80.4,61.91,83.61
deepseek,70.9,70.92,70.89,60.63,73.84
deepseek_rag,78.75,81.44,77.7,71.17,80.92
llama,35.2,24.47,39.42,27.4,37.44
llama_rag,47.95,36.19,52.5,36.19,51.35
gpt_4o,79.69,74.38,81.91,72.02,81.87
gpt_4o_rag,85.28,83.04,86.24,81.35,86.4
gemini_1.5_pro,77.53,74.73,78.63,70.81,79.46
gemini_1.5_pro_rag,86.0,85.95,86.02,82.04,87.14
qwen,66.02,60.92,68.03,55.09,69.15
qwen_rag,76.68,74.73,77.45,68.11,79.13
Llava,28.73,19.27,32.45,16.17,32.33
Llava_rag,35.47,26.83,38.86,28.29,37.52
Llama_3.2_vision,22.06,12.29,25.57,3.31,27.57
Llama_3.2_vision_rag,36.88,21.28,42.48,9.09,45.03
qwen2_vl,73.27,64.42,76.74,53.14,79.03
qwen2_vl_rag,80.4,75.3,82.4,65.12,84.78
claude_sonnet,77.9,68.68,81.53,54.27,84.67
claude_sonnet_rag,84.21,78.49,86.47,65.37,89.61
claude_3.5,83.03,77.3,85.28,76.2,84.99
claude_3.5_rag,87.27,84.75,88.25,80.99,89.07
