ID,Question Number,Share Context,Share Image,Question Text,Image,Options,Answer,Explanation,QA Type,Question Type,Level of Difficulty,Knowledge Topics,General Topics,Book Label,shared_description,description,待处理,Train,Filter,type
191,9,"Jules Bianchi is a bond analyst for Maneval Investments, lnc. Bianchi gathers data on
three corporate bonds, as shown in Exhibit 1.
To assess the interest rate risk of the three bonds, Bianchi constructs two binomial interest
rate trees based on a 10% interest rate volatility assumption and a current one-year rate of
1%. Panel A of Exhibit 2 provides an interest rate tree assuming the benchmark yield curve
shifts down by 30 bps, and Panel B provides an interest rate tree assuming the benchmark yield
curve shifts up by 30 bps. Bianchi determines that the AI bond is currently trading at an
option-adjusted spread (OAS) of 13.95 bps relative to the benchmark yield curve.
Armand Gillette, a convertible bond analyst, stops by Bianchi's office to discuss two
convertible bonds. One is issued by DeLille Enterprises (DE) and the other is issued by
Raffarin Incorporated (RI). Selected data for the two bonds are presented in Exhibits 3 and 4.
 
Gillette makes the following comments to Bianchi:■ “The DE bond does not contain any call or
put options but the RI bond contains both an embedded call option and put option. I expect that
DeLille Enterprises will soon announce a common stock dividend of €0.70 per share.”■ “My
belief is that, over the next year, Raffarin's share price will appreciate toward the
conversion price but not exceed it.”
 ","['images/FixedIncome_images/share1-9_1.png"", 'images/FixedIncome_images/share1-9_2.png"", 'images/FixedIncome_images/share1-9_3.png"", 'images/FixedIncome_images/share1-9_4.png']","Based on Exhibit 4 and Gillette's forecast regarding Raffarin's share price,",,"{'A': ""lower than the return on Raffarin's common shares"", 'B': ""the same as the return on Raffarin's common shares"", 'C': ""higher than the return on Raffarin's common shares""}",A,"Over the next year, Gillette believes that Raffarin's share price will continue to
increase towards the conversion price but not exceed it. If Gillette's forecast becomes true,
the return on the RI bond will increase but at a lower rate than the increase in Raffarin's
share price because the conversion price is not expected to be reached.",Knowledge Reasoning QA,text+image,Easy,"Convertible bonds, Share price forecast, Return comparison",Fixed Income,FixedIncome,"### Image Description

#### Exhibit 1: Selected Bond Data

1. **Layout and Structure:**
   - A table with four columns: Issuer, Coupon Rate, Price, and Bond Description.

2. **Text and Instructions:**
   - Title: ""Exhibit 1. Selected Bond Data""
   - Note: ""Each bond has a remaining maturity of three years, annual coupon payments, and a credit rating of BBB.""

3. **Tables and Data:**
   - **Headers:**
     - Issuer
     - Coupon Rate
     - Price
     - Bond Description
   - **Rows and Columns:**
     - **Row 1:**
       - Issuer: Ayrault, Inc. (AI)
       - Coupon Rate: 5.25%
       - Price: 100.200
       - Bond Description: Callable at par in one year and two years from today
     - **Row 2:**
       - Issuer: Blum, Inc. (BI)
       - Coupon Rate: 5.25%
       - Price: 101.300
       - Bond Description: Option-free
     - **Row 3:**
       - Issuer: Cresson Enterprises (CE)
       - Coupon Rate: 5.25%
       - Price: 102.100
       - Bond Description: Putable at par in one year from today

#### Exhibit 2: Binomial Interest Rate Trees

1. **Layout and Structure:**
   - Two panels: Panel A and Panel B.

2. **Text and Instructions:**
   - Title: ""Exhibit 2. Binomial Interest Rate Trees""
   - **Panel A:**
     - Title: ""Interest Rates Shift Down by 30 bps""
     - Labeled Years: Year 0, Year 1, Year 2
   - **Panel B:**
     - Title: ""Interest Rates Shift Up by 30 bps""
     - Labeled Years: Year 0, Year 1, Year 2

3. **Tables and Data (Interest Rates):**
   - **Panel A:**
     - Year 0: 3.7000%
     - Year 1: 5.1968% (upper branch), 4.2548% (lower branch)
     - Year 2: 7.0037% (upper), 5.7342%",,,,1,<class 'str'>
217,35,"Rayes Investment Advisers specializes in fixed-income portfolio management. Meg Rayes,
the owner of the firm, would like to add bonds with embedded options to the firm's bond
portfolio. Rayes has asked Mingfang Hsu, one of the firm's analysts, to assist her in selecting
and analyzing bonds for possible inclusion in the firm's bond portfolio.Hsu first selects two
corporate bonds that are callable at par and have the same characteristics in terms of
maturity, credit quality and call dates. Hsu uses the option adjusted spread (OAS) approach to
analyse the bonds, assuming an interest rate volatility of 10%. The results of his analysis are
presented in Exhibit 1.
Hsu then selects the four bonds issued by RW, Inc. given in Exhibit 2. These bonds all have a
maturity of three years and the same credit rating. Bonds #4 and #5 are identical to Bond #3,
an option-free bond, except that they each include an embedded option.
To value and analyze RW's bonds, Hsu uses an estimated interest rate volatility of 15% and
constructs the binomial interest rate tree provided in Exhibit 3.
Rayes asks Hsu to determine the sensitivity of Bond #4's price to a 20 bps parallel shift of
the benchmark yield curve. The results of Hsu's calculations are shown in Exhibit 4.
Hsu also selects the two floating-rate bonds issued by Varlep, plc given in Exhibit 5. These
bonds have a maturity of three years and the same credit rating.
To value Varlep's bonds, Hsu constructs the binomial interest rate tree provided in Exhibit 6.
Last, Hsu selects the two bonds issued by Whorton, Inc. given in Exhibit 7. These bonds are
close to their maturity date and are identical, except that Bond #9 includes a conversion
option. Whorton's common stock is currently trading at $30 per share.
 
 ","['images/FixedIncome_images/share29-37_1.png"", 'images/FixedIncome_images/share29-37_2.png"", 'images/FixedIncome_images/share29-37_3.png"", 'images/FixedIncome_images/share29-37_4.png"", 'images/FixedIncome_images/share29-37_5.png"", 'images/FixedIncome_images/share29-37_6.png"", 'images/FixedIncome_images/share29-37_7.png']",The value of Bond #9 is equal to the value of Bond #10:,,"{'A': ""plus the value of a put option on Whorton's common stock"", 'B': ""plus the value of a call option on Whorton's common stock"", 'C': ""minus the value of a call option on Whorton's common stock""}",B,"A convertible bond includes a conversion option, which is a call option on the
issuer's common stock. This conversion option gives the bondholders the right to convert their
debt into equity. Thus, the value of Bond #9, the convertible bond, is equal to the value of
Bond #10, the underlying option-free bond (straight bond), plus the value of a call option on
Whorton's common stock.",Knowledge Reasoning QA,text+image,Easy,"Convertible bonds, Call options, Bond valuation",Fixed Income,FixedIncome,"### Description of the Images

#### Exhibit 1: Summary Results of Hsu’s Analysis Using the OAS Approach
- **Title**: Exhibit 1. Summary Results of Hsu’s Analysis Using the OAS Approach
- **Table Layout**:
  - **Headers**: ""Bond"" and ""OAS (in bps)""
  - **Rows**:
    - **Bond #1**: OAS of 25.5 basis points
    - **Bond #2**: OAS of 30.3 basis points

#### Exhibit 2: Bonds Issued by RW, Inc.
- **Title**: Exhibit 2. Bonds Issued by RW, Inc.
- **Table Layout**:
  - **Headers**: ""Bond', ""Coupon', ""Special Provision""
  - **Rows**:
    - **Bond #3**: 4.00% annual, no special provision
    - **Bond #4**: 4.00% annual, Callable at par at the end of years 1 and 2
    - **Bond #5**: 4.00% annual, Putable at par at the end of years 1 and 2
    - **Bond #6**: One-year Libor annually, set in arrears

#### Exhibit 3: Binomial Interest Rate Tree Used to Value RW’s Bonds
- **Title**: Exhibit 3. Binomial Interest Rate Tree Used to Value RW’s Bonds
- **Structure**:
  - **Year 0**: 2.5000%
  - **Year 1**: 
    - 4.6343%
    - 3.4331%
  - **Year 2**: 
    - 5.3340%
    - 3.9515%
    - 2.9274%

#### Exhibit 4: Sensitivity of Bond #4's Price to a Parallel Shift of the Benchmark Yield Curve
- **Title**: Exhibit 4. Summary Results of Hsu’s Analysis about the Sensitivity of Bond #4’s Price to a Parallel Shift of the Benchmark Yield Curve
- **Table Layout**:
  - **Headers**: ""Magnitude of the Parallel Shift in the Benchmark Yield Curve', ""Full Price of Bond #4 (% of par)""
  - **Rows**:
    - **+20 bps shift**: Full Price of 100.478
",,,,1,<class 'str'>
218,36,"Rayes Investment Advisers specializes in fixed-income portfolio management. Meg Rayes,
the owner of the firm, would like to add bonds with embedded options to the firm's bond
portfolio. Rayes has asked Mingfang Hsu, one of the firm's analysts, to assist her in selecting
and analyzing bonds for possible inclusion in the firm's bond portfolio.Hsu first selects two
corporate bonds that are callable at par and have the same characteristics in terms of
maturity, credit quality and call dates. Hsu uses the option adjusted spread (OAS) approach to
analyse the bonds, assuming an interest rate volatility of 10%. The results of his analysis are
presented in Exhibit 1.
Hsu then selects the four bonds issued by RW, Inc. given in Exhibit 2. These bonds all have a
maturity of three years and the same credit rating. Bonds #4 and #5 are identical to Bond #3,
an option-free bond, except that they each include an embedded option.
To value and analyze RW's bonds, Hsu uses an estimated interest rate volatility of 15% and
constructs the binomial interest rate tree provided in Exhibit 3.
Rayes asks Hsu to determine the sensitivity of Bond #4's price to a 20 bps parallel shift of
the benchmark yield curve. The results of Hsu's calculations are shown in Exhibit 4.
Hsu also selects the two floating-rate bonds issued by Varlep, plc given in Exhibit 5. These
bonds have a maturity of three years and the same credit rating.
To value Varlep's bonds, Hsu constructs the binomial interest rate tree provided in Exhibit 6.
Last, Hsu selects the two bonds issued by Whorton, Inc. given in Exhibit 7. These bonds are
close to their maturity date and are identical, except that Bond #9 includes a conversion
option. Whorton's common stock is currently trading at $30 per share.
 
 ","['images/FixedIncome_images/share29-37_1.png"", 'images/FixedIncome_images/share29-37_2.png"", 'images/FixedIncome_images/share29-37_3.png"", 'images/FixedIncome_images/share29-37_4.png"", 'images/FixedIncome_images/share29-37_5.png"", 'images/FixedIncome_images/share29-37_6.png"", 'images/FixedIncome_images/share29-37_7.png']",The minimum value of Bond #9 is equal to the greater of:,,"{'A': ""the conversion value of Bond #9 and the current value of Bond #10."", 'B': ""the current value of Bond #10 and a call option on Whorton's common stock"", 'C': ""the conversion value of Bond #9 and a call option on Whorton's common stock""}",A,"The minimum value of a convertible bond is equal to the greater of the conversion
value of the convertible bond (i.e., Bond #9) and the current value of the straight bond (i.e.,
Bond #10).",Knowledge Reasoning QA,text+image,Easy,"Convertible bonds, Conversion value, Straight bonds",Fixed Income,FixedIncome,"### Description of the Image Contents

#### Exhibit 1
- **Title**: Summary Results of Hsu’s Analysis Using the OAS Approach
- **Table Description**:
  - **Headers**: Bond, OAS (in bps)
  - **Rows**:
    - Bond #1: 25.5
    - Bond #2: 30.3
- **Summary**: This exhibit presents the Option-Adjusted Spread (OAS) for two bonds labeled Bond #1 and Bond #2.

#### Exhibit 2
- **Title**: Bonds Issued by RW, Inc.
- **Table Description**:
  - **Headers**: Bond, Coupon, Special Provision
  - **Rows**:
    - Bond #3: 4.00% annual, no special provision
    - Bond #4: 4.00% annual, callable at par at the end of years 1 and 2
    - Bond #5: 4.00% annual, putable at par at the end of years 1 and 2
    - Bond #6: One-year Libor annually, set in arrears
- **Summary**: The table lists details about bonds issued by RW, Inc., including their coupon rates and any special provisions.

#### Exhibit 3
- **Title**: Binomial Interest Rate Tree Used to Value RW’s Bonds
- **Layout**: A tree diagram with interest rates at different nodes.
  - **Year 0**: 2.5000%
  - **Year 1**: 4.6343% and 3.4331%
  - **Year 2**: 5.3340%, 3.9515%, and 2.9274%
- **Description**: This binary tree illustrates the progression of interest rates over three years for valuing RW’s bonds.

#### Exhibit 4
- **Title**: Summary Results of Hsu’s Analysis about the Sensitivity of Bond #4’s Price to a Parallel Shift of the Benchmark Yield Curve
- **Table Description**:
  - **Headers**: Magnitude of the Parallel Shift in the Benchmark Yield Curve, Full Price of Bond #4 (% of par)
  - **Rows**:
    - +20 bps: 100.478
    - –20 bps: 101.238
- **Summary**: This table shows how changes",,,,1,<class 'str'>
219,37,"Rayes Investment Advisers specializes in fixed-income portfolio management. Meg Rayes,
the owner of the firm, would like to add bonds with embedded options to the firm's bond
portfolio. Rayes has asked Mingfang Hsu, one of the firm's analysts, to assist her in selecting
and analyzing bonds for possible inclusion in the firm's bond portfolio.Hsu first selects two
corporate bonds that are callable at par and have the same characteristics in terms of
maturity, credit quality and call dates. Hsu uses the option adjusted spread (OAS) approach to
analyse the bonds, assuming an interest rate volatility of 10%. The results of his analysis are
presented in Exhibit 1.
Hsu then selects the four bonds issued by RW, Inc. given in Exhibit 2. These bonds all have a
maturity of three years and the same credit rating. Bonds #4 and #5 are identical to Bond #3,
an option-free bond, except that they each include an embedded option.
To value and analyze RW's bonds, Hsu uses an estimated interest rate volatility of 15% and
constructs the binomial interest rate tree provided in Exhibit 3.
Rayes asks Hsu to determine the sensitivity of Bond #4's price to a 20 bps parallel shift of
the benchmark yield curve. The results of Hsu's calculations are shown in Exhibit 4.
Hsu also selects the two floating-rate bonds issued by Varlep, plc given in Exhibit 5. These
bonds have a maturity of three years and the same credit rating.
To value Varlep's bonds, Hsu constructs the binomial interest rate tree provided in Exhibit 6.
Last, Hsu selects the two bonds issued by Whorton, Inc. given in Exhibit 7. These bonds are
close to their maturity date and are identical, except that Bond #9 includes a conversion
option. Whorton's common stock is currently trading at $30 per share.
 
 ","['images/FixedIncome_images/share29-37_1.png"", 'images/FixedIncome_images/share29-37_2.png"", 'images/FixedIncome_images/share29-37_3.png"", 'images/FixedIncome_images/share29-37_4.png"", 'images/FixedIncome_images/share29-37_5.png"", 'images/FixedIncome_images/share29-37_6.png"", 'images/FixedIncome_images/share29-37_7.png']",The factor that is currently least likely to affect the risk-return,,"{'A': ""Interest rate movements."", 'B': ""Whorton's credit spreads"", 'C': ""Whorton's common stock price movements""}",C,"The risk-return characteristics of a convertible bond depend on the market price of
the issuer's common stock (underlying share price) relative to the bond's conversion price.
When the underlying share price is well below the conversion price, the convertible bond
exhibits mostly bond risk-return characteristics. In this case, the price of the convertible
bond is mainly affected by interest rate movements and the issuer's credit spreads. In
contrast, when the underlying share price is above the conversion price, the convertible bond
exhibits mostly stock risk-return characteristics. In this case, the price of the convertible
bond is mainly affected by the issuer's common stock price movements. The underlying share
price ($30) is lower than the conversion price of Bond #9 ($50). Thus, Bond #9 exhibits mostly
bond risk-return characteristics and is least affected by Whorton's common stock price
movements.",Knowledge Reasoning QA,text+image,Easy,"Convertible bonds, Bond risk-return characteristics, Interest rate movements",Fixed Income,FixedIncome,"### Image Descriptions

#### Exhibit 1: Summary Results of Hsu's Analysis Using the OAS Approach
- **Layout**: A table with two columns.
- **Headers**: 
  - Bond
  - OAS (in bps)
- **Rows**:
  1. Bond #1 | 25.5
  2. Bond #2 | 30.3
- **Details**: The table presents the Option-Adjusted Spread (OAS) in basis points for two bonds.

#### Exhibit 2: Bonds Issued by RW, Inc.
- **Layout**: A table with three columns.
- **Headers**: 
  - Bond
  - Coupon
  - Special Provision
- **Rows**:
  1. Bond #3 | 4.00% annual | (No special provision noted)
  2. Bond #4 | 4.00% annual | Callable at par at the end of years 1 and 2
  3. Bond #5 | 4.00% annual | Putable at par at the end of years 1 and 2
  4. Bond #6 | One-year Libor annually, set in arrears | (No special provision noted)
- **Details**: This table outlines bonds by RW, Inc., detailing their coupon rates and any special provisions like call or put options.

#### Exhibit 3: Binomial Interest Rate Tree Used to Value RW’s Bonds
- **Layout**: A binomial tree with interest rates for Year 0, Year 1, and Year 2.
- **Structure**:
  - **Year 0**: 2.5000%
  - **Year 1**: 
    - 4.6343% (top branch)
    - 3.4331% (bottom branch)
  - **Year 2**: 
    - 5.3340% (top branch)
    - 3.9515% (middle branch)
    - 2.9274% (bottom branch)
- **Details**: The tree illustrates the progression of interest rates over a two-year period used for bond valuation.

#### Exhibit 4: Sensitivity Analysis of Bond #4 to Benchmark Yield Curve Shifts
- **Layout**: A table with two columns.
- **Headers**: 
  - Magnitude of the Parallel Shift in the Benchmark Yield",,,,,<class 'str'>
256,14,,,"When dealing with a hedge fund, a bank would most likely negotiate:",,"{'A': ""A one-way agreement in the bank's favor given the bank's stronger credit rating"", 'B': ""A one-way agreement in the bank's favor agreeing to post collateral to the hedge fund"", 'C': ""A two-way agreement given the relatively small difference in credit quality between the two\nentities."", 'D': ""A two-way agreement where both parties agree to post collateral.""}",A,"The bank would most likely negotiate a one-way agreement in its own favor given the
higher credit quality of the bank. This type of negotiation is typical when there are large
differences in credit quality between two entities.",Knowledge Reasoning QA,text only,Easy,"Credit Ratings, Collateral Agreements, Hedge Fund Risk Management",Credit Risk Measurement and Management,Credit Risk Measurement and Management1,,,,,,<class 'str'>
267,25,,,"Each of the following is true about termination and walkaway features in credit contracts
except?",,"{'A': ""Termination events give an institution the right to terminate a trade prior to their\ncounterparty's credit-worthiness deteriorating to the point of bankruptcy"", 'B': ""A break clause – a.k.a. liquidity put – is an agreement to terminate a transaction at pre-\nspecified dates in the future at market rates."", 'C': ""Break clause are often linked to additional termination events which are not in the\nstandardized ISDA documentation and therefore are a result of negotiations."", 'D': ""Walkaway features are parts of the standardized ISDA documentation and 'should be utilized' ""}",D,"Walkaway feature are not part of the standardized documentation. Walkaway
features are rather unpleasant and should be avoided for the following reasons: They create
an additional cost for a counterparty in the event of default. They create moral hazard since
an institution is given the incentive to contribute to their counterparty’s default due to the
financial gain they can make. A walkaway feature may be “priced in” to a transaction. The
possible gains in counterparty default will then offset the negative component due to potential
losses that may ultimately “hide” some of the risk.",Knowledge Reasoning QA,text only,Easy,"Credit Risk Management, Credit Contracts, ISDA Documentation",Credit Risk Measurement and Management,Credit Risk Measurement and Management1,,,,,1,<class 'str'>
307,65,,,"Brent Gulick, a credit analyst with Home Town Bank, is considering the loan application of a
small, local car dealership. The dealership has been solely owned by Bob justice for more than
20 years and sells three brands of American automobiles. Because of the rural location, most of
the cars sold in the past by the dealership have been large pick-up trucks and sports utility
vehicles. However, sales have declined, and gasoline prices have continued to increase. As a
result, Justice is considering selling a line of hybrid cars. Justice has borrowed from Home
Town Bank before but currently does not have a balance outstanding with the bank. Which of the
following statements is not one of the four components of credit analysis Gulick should be
evaluating when performing the credit analysis for this potential loan?",,"{'A': ""The business environment', competition', and economic climate in the region."", 'B': ""Justice's character and past payment history with the bank"", 'C': ""The car dealership's balance sheets and income statements for the last few years as well as\nJustice's personal financial situation"", 'D': ""The financial health of Justice's friends and family who could be called upon to guarantee""}",D,"There are four primary components of credit risk evaluation: (1) the borrower’s
(obligor’s) willingness and capacity to repay the loan, (2) the effect of external conditions
on the borrower’s ability to repay the loan, (3) the inherent characteristics of the credit
instrument and the extent to which the characteristics affect the borrower’s willingness and
ability to repay the loan, and (4) the quality and adequacy of risk mitigants such as
collateral and loan guarantees. In this case, the local business environment, Justice's
character, his payment history, and the business’s financial positions are all relevant. While
risk mitigants such as collateral and loan guarantees are part of credit analysis, it is
unlikely that a local car dealer who has been in business for 20 years would be seeking a loan
guarantee from a friend or family member. In addition, even if Justice were looking at a
potential loan guarantor, Gulick would not simply evaluate his “friends and family” but would
evaluate the specific person or business that intended to guarantee the loan.",Knowledge Reasoning QA,text only,Easy,"Credit Analysis, External Conditions, Credit Risk Mitigants",Credit Risk Measurement and Management,Credit Risk Measurement and Management1,,,,,1,<class 'str'>
360,118,,,Which of the following statements is correct regarding credit risk scoring models?,,"{'A': ""A pooled model will result in scores ranging from 300 to 850."", 'B': ""A custom model is cheaper to implement than credit bureau scores."", 'C': ""Multiple requests for new credit will reduce an applicant's credit score"", 'D': ""An example of a characteristic in a scoring model is the applicant's current gross salary of""}",C,"An individual's credit file will show a history of credit requests, with multiple
requests causing an applicant's credit score to decline. A credit bureau score model (rather
than pooled model) will result in scores ranging from 300 to 850. A custom model is more
expensive to implement than credit bureau scores. ""Gross salary with current employer"" is an
example of a characteristic, with the actual salary number itself representing an attribute.纯
外部的评分模型（Credit Bureau Scores）",Knowledge Reasoning QA,text only,Easy,"Credit risk scoring models, Credit bureau scores, Custom scoring models",Credit Risk Measurement and Management,Credit Risk Measurement and Management1,,,,,,<class 'str'>
392,150,,,"Which of the following was not a cause of the misalignment between investors, and rating
agencies' incentives prior to the credit crisis of 2007-2009?",,"{'A': ""Profit motive of the rating agencies."", 'B': ""Pressure from the originators of securitized products."", 'C': ""Manipulation of the ratings process by the originators."", 'D': ""Investors' lack of understanding of the products they were purchasing""}",D,"According to the findings of the congressionally formed Financial Crisis Inquiry
Commission, the root causes of the misalignment were the flawed computer models at the rating
agencies, the profit motive of the rating agencies, pressure from the originators, the drive
for market share coming from the rating agencies, the rating agencies lack of provided (not
available) resources to conduct the proper due diligence, and the absence of meaningful public
oversight. A thorough post-audit of the crisis will also reveal that originators also
manufactured the securitized products to specifically arrive at a AAA rating given their
acquired knowledge of the rating agencies, decision flow charts.",Knowledge Reasoning QA,text only,Easy,"Incentive Misalignment, Rating Agencies, Financial Crisis of 2007-2009",Credit Risk Measurement and Management,Credit Risk Measurement and Management1,,,,,1,<class 'str'>
447,54,"Adrienne Yu is an analyst with an international bank. She analyzes Ambleu S.A.
(“Ambleu”), a multinational corporation, for a client presentation. Ambleu complies with
IFRS, and its presentation currency is the Norvoltian krone (NVK). Ambleu's two subsidiaries,
Ngcorp and Cendaró, have different functional currencies: Ngcorp uses the Bindiar franc (FB)
and Cendaró uses the Crenland guinea (CRG).Yu first analyzes the following three transactions
to assess foreign currency transaction exposure:Transaction 1: Cendaró sells goods to a non-
domestic customer that pays in dollars on the purchase date.Transaction 2: Ngcorp obtains a
loan in Bindiar francs on 1 June 2016 from a European bank with the Norvoltian krone as its
presentation currency.Transaction 3: Ambleu imports inventory from Bindiar under 45-day credit
terms, and the payment is to be denominated in Bindiar francs.Yu then reviews Transactions 2
and 3. She determines the method that Ambleu would use to translate Transaction 2 into its 31
December 2016 consolidated financial statements. While analyzing Transaction 3, Yu notes that
Ambleu purchased inventory on 1 June 2016 for FB27,000/ton. Ambleu pays for the inventory on 15
July 2016. Exhibit 1 presents selected economic data for Bindiar and Crenland.
Prior to reviewing the 2016 and 2017 consolidated financial statements of Ambleu, Yu meets with
her supervisor, who asks Yu the following two questions:Question 1Would a foreign currency
translation loss reduce Ambleu's net sales growth?Question 2According to IFRS, what disclosures
should be included relating to Ambleu's treatment of foreign currency translation for Ngcorp?To
complete her assignment, Yu analyzes selected information and notes from Ambleu's 2016 and 2017
consolidated financial statements, presented in Exhibit 2.
Note 3: The parent company transferred NVK15 million to Cendaró on 1 January 2016 to purchase a
patent from a competitor for CRG85.17 million.Note 4: The 2016 consolidated balance sheet
includes Ngcorp's total intangible assets of NVK3 million, which were added to Ngcorp's balance
sheet on 15 July 2016.
 ","['images/FinancialStatementAnalysis_images/share48-56_1.png"", 'images/FinancialStatementAnalysis_images/share48-56_2.png']","Based on Exhibit 2 and Note 2, the change in Ambleu's consolidated income tax",,"{'A': ""decrease in Ambleu's domestic tax rate"", 'B': ""more profitable business mix in its subsidiaries."", 'C': ""stronger Norvoltian krone relative to the currencies of its subsidiaries.""}",B,"The consolidated income tax rate is calculated as income tax expense divided by
profit before tax. Note 2 shows that Ambleu's consolidated income tax rate decreases by 2.29%,
from 34.94% (=94/269) in 2016 to 32.65% (=96/294) in 2017. The largest component of the
decrease stems from the 1.42% change in the effect of tax rates in non-domestic jurisdictions,
which lowers Ambleu's consolidated income tax rate in 2016 by 3.34% (=9/269) and in 2017 by
4.76% (=14/294). The decrease in 2017 could indicate that Ambleu's business mix shifted to
countries with lower marginal tax rates, resulting in a lower consolidated income tax rate and
more profit. (The change could also indicate that the marginal tax rates decreased in the
countries in which Ambleu earns profits.)",Knowledge Reasoning QA,text+image,Hard,"Income tax expense, Profit before tax, Marginal tax rates",Financial Reporting and Analysis,Financial Statement Analysis,"### Image Description and Analysis

#### Exhibit 1: Selected Economic Data for Bindiar and Crenland

##### Layout:
- The table is titled ""Exhibit 1. Selected Economic Data for Bindiar and Crenland.""
- It is structured with rows and columns including economic metrics for specific dates and years.

##### Table Details:
1. **Headers:**
   - Date
   - Spot FB/NVK Exchange Rate
   - Bindiar Inflation Rate (%)
   - Spot CRG/NVK Exchange Rate
   - Crenland Inflation Rate (%)
   - Crenland GPI

2. **Data:**
   - **2015.12.31:**
     - Spot CRG/NVK Exchange Rate: 5.6780
     - Crenland GPI: 100.0

   - **2016.6.1:**
     - Spot FB/NVK Exchange Rate: 4.1779

   - **2016.7.15:**
     - Spot FB/NVK Exchange Rate: 4.1790

   - **2016.12.31:**
     - Spot FB/NVK Exchange Rate: 4.2374
     - Bindiar Inflation Rate (%): 3.1
     - Spot CRG/NVK Exchange Rate: 8.6702
     - Crenland Inflation Rate (%): 40.6
     - Crenland GPI: 140.6

   - **Average 2016:**
     - Spot FB/NVK Exchange Rate: 4.3450

   - **2017.12.31:**
     - Spot FB/NVK Exchange Rate: 4.3729
     - Bindiar Inflation Rate (%): 2.1
     - Spot CRG/NVK Exchange Rate: 14.4810
     - Crenland Inflation Rate (%): 62.3
     - Crenland GPI: 228.2

   - **Average 2017:**
     - Spot FB/NVK Exchange Rate: 4.3618
     - Spot CRG/NVK Exchange Rate: 11.5823
     - Crenland GPI: 186.2

#### Exhibit 2: Selected Information and Notes from Consolidated Financial Statements of Ambleu S.A. (in NVK millions)

##### Layout:
- The exhibit is titled ""Exhibit ",,,1,1,<class 'str'>
